vid,artist,album,title,len,display_genre,display_mood,display_category,genre,mood,category,instruments,artist_url,artist_channel_url,license_type,downloadable,download_url,favorite,popularity_percentile,is_new_track,track_url,streamid,reference_vid,fp_ref_id,waveform_url
c5005d8b271e16f4,None,None,Air Nailer - Aluminum,15.416,"",,工具聲,None,,Tools,"","",,0,TRUE,https://www.youtube.com/audiolibrary_download?vid=c5005d8b271e16f4,FALSE,77,FALSE,"",XOsm2pAiEhzGsuBWLhHvrArfFrGRduCICf5AsuPhbQsMyy6bQa_UtYvi8bHJ6jPM,c5005d8b271e16f4,c5005d8b271e16f4,https://www.youtube.com/api/editor/waveform?expire=1588492800&if=0&scale=10&editlist=Cgh3YXZlZm9ybRobCJh1EhYKEGM1MDA1ZDhiMjcxZTE2ZjQQABgC&sigh=Xs2_9horG_4bqcD9H4CAsQ
ab89ab2f4e81b6d5,None,None,Air Nailer - Wood,7.15,"",,工具聲,None,,Tools,"","",,0,TRUE,https://www.youtube.com/audiolibrary_download?vid=ab89ab2f4e81b6d5,FALSE,67,FALSE,"",MyYHO-AWM7UwXSkFjzODZI0P8__07lGrjOXkYZWWhtdIRPaosHm43yHN1fNvB4-I,ab89ab2f4e81b6d5,ab89ab2f4e81b6d5,https://www.youtube.com/api/editor/waveform?expire=1588492800&if=0&scale=10&editlist=Cgh3YXZlZm9ybRobCNg2EhYKEGFiODlhYjJmNGU4MWI2ZDUQABgC&sigh=HpXrQU0fcybPwTb3vY9e9w
ad30560c592d6676,None,None,Air Tank Leak Slow,40.716,"",,工具聲,None,,Tools,"","",,0,TRUE,https://www.youtube.com/audiolibrary_download?vid=ad30560c592d6676,FALSE,68,FALSE,"",xKvoQFP2X8x01bwLH9D1SwDn3THNpe46otDo0qzTlKp6nnZK0g4xwhaaw4KLqEsy,ad30560c592d6676,ad30560c592d6676,https://www.youtube.com/api/editor/waveform?expire=1588492800&if=0&scale=10&editlist=Cgh3YXZlZm9ybRocCMC4AhIWChBhZDMwNTYwYzU5MmQ2Njc2EAAYAg%3D%3D&sigh=aGmrrgNM8dqqhFpjYpYOIw
78678bcfa3c235d3,None,None,Air Woosh Underwater,1.15,"",,水聲,None,,Water,"","",,0,TRUE,https://www.youtube.com/audiolibrary_download?vid=78678bcfa3c235d3,FALSE,48,FALSE,"",6IclQOlvlqQHJbBKyGYzxHkNEYzUZLvJ8IFBY9MYAaabCe-NQ4wKnwQlduxX2gEm,78678bcfa3c235d3,78678bcfa3c235d3,https://www.youtube.com/api/editor/waveform?expire=1588492800&if=0&scale=10&editlist=Cgh3YXZlZm9ybRobCOgHEhYKEDc4Njc4YmNmYTNjMjM1ZDMQABgC&sigh=IbzWKe7UUZYmll0YHF25oA
3530adc8bdf7934f,None,None,Airplane In Flight ,68.516,"",,交通工具,None,,Transportation,"","",,0,TRUE,https://www.youtube.com/audiolibrary_download?vid=3530adc8bdf7934f,FALSE,22,FALSE,"",M2xsf4ITH8-KADVxQv3izqplp8OCugv0DlVXWXczLkaz8e918oa9BipGdhn4v3jT,3530adc8bdf7934f,3530adc8bdf7934f,https://www.youtube.com/api/editor/waveform?expire=1588492800&if=0&scale=10&editlist=Cgh3YXZlZm9ybRocCKCTBBIWChAzNTMwYWRjOGJkZjc5MzRmEAAYAg%3D%3D&sigh=S3Ot7yFqmJ9UU3N5ii8AMQ
26cc2a4c48a8ca48,None,None,Airplane Rocket Fire Close,12.05,"",,武器音效,None,,Weapons,"","",,0,TRUE,https://www.youtube.com/audiolibrary_download?vid=26cc2a4c48a8ca48,FALSE,16,FALSE,"",ta3qnpsgkZ5lGbp3YnJuoVJKJqDA-eR7yvFRrsheEYpXAm_EBb4MuP7Q5bIzQhMR,26cc2a4c48a8ca48,26cc2a4c48a8ca48,https://www.youtube.com/api/editor/waveform?expire=1588492800&if=0&scale=10&editlist=Cgh3YXZlZm9ybRobCOBdEhYKEDI2Y2MyYTRjNDhhOGNhNDgQABgC&sigh=zYnIIsWm0-tKNLPmWAlPFA
93769e44f6301138,None,None,Airplane Taxi Long,219.75,"",,交通工具,None,,Transportation,"","",,0,TRUE,https://www.youtube.com/audiolibrary_download?vid=93769e44f6301138,FALSE,58,FALSE,"",9KSi4PZb6U5dXovXFuw-bfSMTh9yqyBPs8xhkpUSdZU6feonB_j34VLsFtu2vY7O,93769e44f6301138,93769e44f6301138,https://www.youtube.com/api/editor/waveform?expire=1588492800&if=0&scale=10&editlist=Cgh3YXZlZm9ybRocCPiuDRIWChA5Mzc2OWU0NGY2MzAxMTM4EAAYAg%3D%3D&sigh=lyzmaL9oMJWOHOHjl4VcQg
13321fdd50ae3ee6,None,None,Alarm Clock,5.983,"",,警報聲,None,,Alarms,"","",,0,TRUE,https://www.youtube.com/audiolibrary_download?vid=13321fdd50ae3ee6,FALSE,7,FALSE,"",XuYvEkQ2rdeTLqzBSf27a4tX8RpJAh4ezbRtqJ4hFhPwWkZlvbfdTLpsH7eI28UA,13321fdd50ae3ee6,13321fdd50ae3ee6,https://www.youtube.com/api/editor/waveform?expire=1588492800&if=0&scale=10&editlist=Cgh3YXZlZm9ybRobCIgnEhYKEDEzMzIxZmRkNTBhZTNlZTYQABgC&sigh=wEWAZvSCmak5wHGSVPvl_Q
84fe0b37db616baf,None,None,Alien Beam,27.516,"",,科幻片,None,,Science Fiction,"","",,0,TRUE,https://www.youtube.com/audiolibrary_download?vid=84fe0b37db616baf,FALSE,53,FALSE,"",jqooF3aEw1x-qHl9cyQchnGJm8FxrwgFxHT4krZEfhxhAhejkGRuniWj_wYMLmsh,84fe0b37db616baf,84fe0b37db616baf,https://www.youtube.com/api/editor/waveform?expire=1588492800&if=0&scale=10&editlist=Cgh3YXZlZm9ybRocCPjSARIWChA4NGZlMGIzN2RiNjE2YmFmEAAYAg%3D%3D&sigh=5nJ5DJJueP0UC9Ks6o-tqQ
7d280b3464d75ce4,None,None,Alien Breath,75.95,"",,科幻片,None,,Science Fiction,"","",,0,TRUE,https://www.youtube.com/audiolibrary_download?vid=7d280b3464d75ce4,FALSE,49,FALSE,"",BQtY-65G1qovEQbWsKDgCNtFzKZDcQv9zF7uzvEgjeh5lD2EX0vV6Dv7xnOMzkOV,7d280b3464d75ce4,7d280b3464d75ce4,https://www.youtube.com/api/editor/waveform?expire=1588492800&if=0&scale=10&editlist=Cgh3YXZlZm9ybRocCPjJBBIWChA3ZDI4MGIzNDY0ZDc1Y2U0EAAYAg%3D%3D&sigh=y1HsxP0B-QfWi1eSujnhOw
bf234a3030d31a6a,None,None,Alien Song,148.15,"",,科幻片,None,,Science Fiction,"","",,0,TRUE,https://www.youtube.com/audiolibrary_download?vid=bf234a3030d31a6a,FALSE,75,FALSE,"",18R82OKjMoDX9miUdbdiqaufQOxcuf7GSseKuz88rBAR1rqJJpuraw670tQszDez,bf234a3030d31a6a,bf234a3030d31a6a,https://www.youtube.com/api/editor/waveform?expire=1588492800&if=0&scale=10&editlist=Cgh3YXZlZm9ybRocCKCECRIWChBiZjIzNGEzMDMwZDMxYTZhEAAYAg%3D%3D&sigh=6beibpkhcpkBsh2_NyoGzA
080d5ee4891578bd,None,None,Alien Squawk Echo,47.383,"",,恐怖片,None,,Horror,"","",,0,TRUE,https://www.youtube.com/audiolibrary_download?vid=080d5ee4891578bd,FALSE,3,FALSE,"",-LqxWAsOR1aWh0JpjYQPVCoKko3DKCcs5BFMPvJG27_M-2ADBpIGRJcW3U9sKr2F,080d5ee4891578bd,080d5ee4891578bd,https://www.youtube.com/api/editor/waveform?expire=1588492800&if=0&scale=10&editlist=Cgh3YXZlZm9ybRocCJjvAhIWChAwODBkNWVlNDg5MTU3OGJkEAAYAg%3D%3D&sigh=gC0kAZ82Bexi9GiV0V9vqQ
e6e0532e9625673a,None,None,Aluminum Can Crunch Series,14.483,"",,日常聲響,None,,Household,"","",,0,TRUE,https://www.youtube.com/audiolibrary_download?vid=e6e0532e9625673a,FALSE,90,FALSE,"",rafIxqXFJ_vMzyHdBUgDnENOCB_9kQkjI6OiEBz-jEuzkra-3tBzFTMc87q5M1P2,e6e0532e9625673a,e6e0532e9625673a,https://www.youtube.com/api/editor/waveform?expire=1588492800&if=0&scale=10&editlist=Cgh3YXZlZm9ybRobCLBtEhYKEGU2ZTA1MzJlOTYyNTY3M2EQABgC&sigh=ropbBy8IIRVGNKx9vtmUXA
7ddba3bfe95009f2,None,None,Aluminum Can Open,3.316,"",,動作音,None,,Foley,"","",,0,TRUE,https://www.youtube.com/audiolibrary_download?vid=7ddba3bfe95009f2,FALSE,50,FALSE,"",z9GbI6scydPHD5f2e04F3-R0Vadfm4_K6kcnPKjU6h4wbMkVURmzdcPOFDAcqRan,7ddba3bfe95009f2,7ddba3bfe95009f2,https://www.youtube.com/api/editor/waveform?expire=1588492800&if=0&scale=10&editlist=Cgh3YXZlZm9ybRobCLgXEhYKEDdkZGJhM2JmZTk1MDA5ZjIQABgC&sigh=5uba3N8Nbin4woJyw82FRg
baede306bf3f6239,None,None,Ambient Hum Air Conditioner,117.95,"",,環境音,None,,Ambiences,"","",,0,TRUE,https://www.youtube.com/audiolibrary_download?vid=baede306bf3f6239,FALSE,73,FALSE,"",CTt1v4brTvGMTofS2HRH-512pew2L1E33xaB6EDzoh6ClT3w1vPUhLn_PESF8DVP,baede306bf3f6239,baede306bf3f6239,https://www.youtube.com/api/editor/waveform?expire=1588492800&if=0&scale=10&editlist=Cgh3YXZlZm9ybRocCIiSBxIWChBiYWVkZTMwNmJmM2Y2MjM5EAAYAg%3D%3D&sigh=xyJkfp_Vrgl4VC1910ZnIg
fc1a709809deb6e0,None,None,Ambient Hum Pitched,47.016,"",,恐怖片,None,,Horror,"","",,0,TRUE,https://www.youtube.com/audiolibrary_download?vid=fc1a709809deb6e0,FALSE,99,FALSE,"",u6_XqxXCd4iHrJZxfd8hc0VkZOq7DGz1-aSjxM2FI4LSM7fSroHrRDl5H9o4KGtx,fc1a709809deb6e0,fc1a709809deb6e0,https://www.youtube.com/api/editor/waveform?expire=1588492800&if=0&scale=10&editlist=Cgh3YXZlZm9ybRocCJjvAhIWChBmYzFhNzA5ODA5ZGViNmUwEAAYAg%3D%3D&sigh=BS5nWLWYNo22f1Sq13-Kag
4c3ed82cbdfb767d,None,None,Ambulance Drive Siren,165.35,"",,消防及救護音效,None,,Emergency,"","",,0,TRUE,https://www.youtube.com/audiolibrary_download?vid=4c3ed82cbdfb767d,FALSE,31,FALSE,"",hdSSYnDUbsoVRfbRtmOjVFCg5gL-fflIF4oBxL5RSR_qsDAXK2c1RGqukV8jQftl,4c3ed82cbdfb767d,4c3ed82cbdfb767d,https://www.youtube.com/api/editor/waveform?expire=1588492800&if=0&scale=10&editlist=Cgh3YXZlZm9ybRocCIiJChIWChA0YzNlZDgyY2JkZmI3NjdkEAAYAg%3D%3D&sigh=GHLi_Kkzlz3IV-J51qdDjQ
da37862576ef9230,None,None,Ambulance Siren,33.55,"",,消防及救護音效,None,,Emergency,"","",,0,TRUE,https://www.youtube.com/audiolibrary_download?vid=da37862576ef9230,FALSE,86,FALSE,"",gXc2LnAux0KZRIJAtw_r4BS_JCxzd-WZbJoOjJZcwCPCaBiAcpsKqc2b729cyWwO,da37862576ef9230,da37862576ef9230,https://www.youtube.com/api/editor/waveform?expire=1588492800&if=0&scale=10&editlist=Cgh3YXZlZm9ybRocCOiBAhIWChBkYTM3ODYyNTc2ZWY5MjMwEAAYAg%3D%3D&sigh=n0csVyL-35XCZP7dAIlHoQ
b564bd517d215fd8,None,None,Ambulance Siren Distant,58.283,"",,消防及救護音效,None,,Emergency,"","",,0,TRUE,https://www.youtube.com/audiolibrary_download?vid=b564bd517d215fd8,FALSE,71,FALSE,"",tUPV1XjPLuF26Ym9vtdJEH63ns603ppK9dzurHB6qL_GuaLmDOBk3N2ugnTESN4b,b564bd517d215fd8,b564bd517d215fd8,https://www.youtube.com/api/editor/waveform?expire=1588492800&if=0&scale=10&editlist=Cgh3YXZlZm9ybRocCJDFAxIWChBiNTY0YmQ1MTdkMjE1ZmQ4EAAYAg%3D%3D&sigh=oh80Y3qnRPQ3jKyLPuNW3g
25ca6726c6c1b44e,None,None,Animal Bark And Growl,7.916,"",,動物聲,None,,Animals,"","",,0,TRUE,https://www.youtube.com/audiolibrary_download?vid=25ca6726c6c1b44e,FALSE,16,FALSE,"",oM_DYcjNFXMPQ5ftgLe4Xp6Tmppr7c9uIuBO-oN3CYlg1HgMDM4Q5_vTLk28YDi6,25ca6726c6c1b44e,25ca6726c6c1b44e,https://www.youtube.com/api/editor/waveform?expire=1588492800&if=0&scale=10&editlist=Cgh3YXZlZm9ybRobCNg2EhYKEDI1Y2E2NzI2YzZjMWI0NGUQABgC&sigh=lG11T3x5HgUo6VigNiHJnA
